k         maxexp    maxprob      bicrit
1         6662      6662         8252
2         8511      8511         9733
3         10447     11834        11956
4         11834     12820        13272
5         11834     13270        14569
6         13512     13270        15369
7         13962     14120        15674
8         14813     15799        16420
9         15759     16547        16860
10        15759     17197        17391
11        16035     17197        18029
12        16035     17824        18317
13        16783     17874        18667
14        17123     17874        18889
15        17750     18085        19195
16        18197     18228        19519
17        18884     18228        19751
18        19036     18915        19915
19        19302     19291        20134
20        19537     19487        20513
21        20114     19682        20886
22        20114     19764        21035
23        20114     19954        21159
24        20257     20275        21360
25        20257     20852        21599
26        20356     21085        21867
27        20356     21375        22147
28        20420     21615        22288
29        20420     21703        22504
30        20502     21703        22657
31        20576     21939        22860
32        20772     22038        22971
33        21158     22098        23074
34        21158     22287        23188
35        21370     22417        23354
36        21430     22529        23454
37        21532     22628        23630
38        21739     22807        23746
39        21934     22837        23838
40        22167     23103        23956
