k           maxexp    maxprob        bicrit
1           426       426            383
2           783       783            760
3           1089      1089           1052
4           1283      1283           1243
5           1458      1458           1416
6           1550      1550           1513
7           1675      1675           1610
8           1721      1721           1669
9           1751      1757           1705
10          1787      1787           1737
11          1825      1825           1764
12          1853      1859           1795
13          1887      1888           1821
14          1913      1917           1851
15          1942      1945           1885
16          1977      1987           1911
17          2019      2013           1940
18          2043      2037           1966
19          2060      2060           1988
20          2084      2088           2013
21          2107      2105           2036
22          2136      2140           2058
23          2151      2163           2081
24          2164      2182           2103
25          2176      2197           2124
26          2189      2214           2144
27          2198      2231           2165
28          2213      2246           2188
29          2241      2269           2209
30          2270      2278           2232
31          2289      2290           2254
32          2297      2303           2273
33          2316      2322           2295
34          2339      2331           2316
35          2353      2359           2341
36          2382      2383           2363
37          2400      2389           2381
38          2419      2397           2396
39          2450      2426           2416
40          2476      2441           2437
