k         maxexp   maxprob     bicrit
1         252      252         299
2         474      474         475
3         619      619         601
4         703      703         686
5         756      756         748
6         813      782         802
7         862      840         842
8         873      889         882
9         885      923         911
10        893      923         942
11        920      949         980
12        942      949         988
13        942      975         1018
14        976      1011        1034
15        976      1022        1056
16        996      1051        1077
17        996      1067        1101
18        1011     1072        1118
19        1022     1078        1135
20        1022     1084        1149
21        1049     1099        1158
22        1049     1149        1173
23        1062     1166        1187
24        1088     1182        1201
25        1104     1191        1213
26        1121     1210        1226
27        1130     1210        1242
28        1139     1228        1253
29        1188     1244        1268
30        1221     1265        1277
31        1242     1272        1288
32        1246     1298        1299
33        1250     1307        1310
34        1256     1311        1319
35        1256     1317        1333
36        1276     1324        1341
37        1297     1341        1349
38        1297     1341        1359
39        1297     1351        1367
40        1315     1351        1378
