k           maxexp   maxprob     bicrit
1           42       42          48
2           83       83          82
3           111      111         112
4           119      127         130
5           129      141         145
6           146      151         156
7           159      162         168
8           170      173         181
9           184      185         192
10          192      199         203
11          199      207         211
12          208      213         220
13          219      222         229
14          228      231         239
15          238      235         251
16          248      239         260
17          257      250         264
18          263      260         270
19          270      262         279
20          278      262         285
21          285      266         292
22          290      271         299
23          298      275         306
24          301      277         312
25          307      283         318
26          313      293         322
27          323      299         330
28          328      302         334
29          333      310         340
30          341      312         347
31          345      316         351
32          352      318         357
33          356      320         364
34          365      325         369
35          366      330         374
36          367      335         378
37          370      341         383
38          374      348         387
39          380      353         390
40          383      358         394
