k         maxexp    maxprob     bicrit
1         977       977         1101
2         2388      2388        2134
3         3236      3236        2998
4         3664      3985        3783
5         4413      4324        4327
6         4917      4886        4797
7         4977      5313        5396
8         5180      5313        5717
9         5742      5596        6165
10        6081      5936        6501
11        6544      5992        6737
12        6843      6684        7056
13        6971      6954        7386
14        7386      7231        7696
15        7507      7499        8015
16        7941      7619        8238
17        8217      7870        8442
18        8487      7931        8716
19        8645      7931        8951
20        8645      8365        9199
21        9447      8789        9492
22        9493      9025        9638
23        9744      9166        9848
24        9866      9568        10116
25        9974      9888        10275
26        10314     10279       10544
27        10314     10387       10737
28        10435     10450       10898
29        10577     10555       11100
30        10943     11018       11254
31        11124     11256       11395
32        11141     11671       11545
33        11215     11706       11713
34        11478     11890       11942
35        11715     12000       12067
36        11880     12322       12273
37        11945     12706       12420
38        12264     12954       12565
39        12483     13028       12715
40        12538     13134       12873
